participantsID,a(101),Ter(101),eta(101),z(101),sz(101),st(101),v(101),a(102),Ter(102),eta(102),z(102),sz(102),st(102),v(102),AICc(1),BIC(1),Chi(1),df
a751959dd7084c7b,1.264935e-01,7.964346e-01,2.000000e-01,8.000297e-03,5.876384e-02,7.887966e-01,8.471455e-02,1.346792e-01,9.564468e-01,2.000000e-01,9.069237e-03,5.876384e-02,7.887966e-01,-5.943214e-03,8.379549e+02,8.636255e+02,3.432162e+03,9
a7ef69324e55dcf3,1.631783e-01,6.132522e-01,2.000000e-01,1.331358e-02,6.547700e-02,6.895915e-01,1.150706e-01,1.278306e-01,9.191733e-01,2.000000e-01,8.170332e-03,6.547700e-02,6.895915e-01,6.628286e-02,1.389285e+03,1.414955e+03,2.187519e+06,9
ab06a32c33b7c594,1.310693e-01,7.522751e-01,2.000000e-01,8.589582e-03,5.479748e-02,7.289065e-01,5.880136e-02,1.124751e-01,8.675171e-01,2.000000e-01,6.325319e-03,5.479748e-02,7.289065e-01,1.348163e-01,1.506042e+03,1.531712e+03,3.248161e+06,9
ab652d1792ba579f,1.126560e-01,9.071430e-01,2.000000e-01,6.345687e-03,5.209105e-02,8.177125e-01,1.100422e-01,1.188598e-01,9.099960e-01,2.000000e-01,7.063824e-03,5.209105e-02,8.177125e-01,1.395113e-01,1.035974e+03,1.061644e+03,6.347993e+03,9
ab7c01f6e1ec753a,1.346717e-01,9.665352e-01,2.000000e-01,9.068235e-03,6.282049e-02,7.739666e-01,-6.803884e-02,1.445305e-01,7.533906e-01,2.000000e-01,1.044453e-02,6.282049e-02,7.739666e-01,1.049154e-01,5.828426e+02,6.085132e+02,7.558657e+02,9
adb5486de57c1af0,1.578363e-01,7.832915e-01,2.000000e-01,1.245615e-02,6.902835e-02,6.393312e-01,8.231838e-02,1.489563e-01,6.374445e-01,2.000000e-01,1.109399e-02,6.902835e-02,6.393312e-01,8.322513e-02,8.695489e+02,8.951489e+02,1.553960e+04,9
ae4cf4947761ad3f,1.879531e-01,7.582632e-01,2.000000e-01,1.766318e-02,7.550600e-02,7.621088e-01,5.419276e-02,1.476291e-01,9.353119e-01,2.000000e-01,1.089718e-02,7.550600e-02,7.621088e-01,-1.633567e-02,6.422324e+02,6.679030e+02,2.654088e+03,9
af8390dd2a780433,1.192421e-01,9.971307e-01,2.000000e-01,7.109341e-03,5.466720e-02,1.008424e+00,-2.064145e-02,1.237232e-01,1.243812e+00,2.000000e-01,7.653720e-03,5.466720e-02,1.008424e+00,1.295978e-02,5.657139e+02,5.913845e+02,7.415640e+02,9
b8d6cea15a548aa9,1.232222e-01,7.264828e-01,2.000000e-01,7.591857e-03,5.791342e-02,7.161412e-01,1.210541e-01,1.341708e-01,8.649420e-01,2.000000e-01,9.000899e-03,5.791342e-02,7.161412e-01,4.943656e-02,1.406065e+03,1.431735e+03,1.879604e+05,9
bc688588712e0329,1.486205e-01,1.419071e+00,2.000000e-01,1.104403e-02,6.658610e-02,1.312604e+00,-3.073320e-02,1.473177e-01,1.497828e+00,2.000000e-01,1.085125e-02,6.658610e-02,1.312604e+00,-4.913997e-02,3.742212e+02,3.998213e+02,2.947217e+02,9
bd2adbff911d558e,1.640242e-01,7.902845e-01,2.000000e-01,1.345197e-02,7.441022e-02,6.945771e-01,5.284651e-02,1.666879e-01,7.532201e-01,2.000000e-01,1.389242e-02,7.441022e-02,6.945771e-01,1.452036e-01,8.450495e+02,8.706495e+02,3.485786e+04,9
c00c5c68db223d0f,1.208710e-01,8.969185e-01,2.000000e-01,7.304905e-03,5.331110e-02,7.861888e-01,6.757452e-03,1.160672e-01,8.501678e-01,2.000000e-01,6.735796e-03,5.331110e-02,7.861888e-01,1.306439e-01,8.584891e+02,8.841597e+02,6.913722e+03,9
c012de0ccb49819f,1.402297e-01,6.412463e-01,2.000000e-01,9.832188e-03,6.108795e-02,5.329425e-01,-8.029762e-02,1.312723e-01,5.430704e-01,2.000000e-01,8.616204e-03,6.108795e-02,5.329425e-01,1.221451e-02,8.065745e+02,8.322451e+02,1.739648e+03,9
c4ea8a11570e9599,1.133859e-01,8.117229e-01,2.000000e-01,6.428176e-03,5.165059e-02,6.515678e-01,-4.028355e-02,1.161723e-01,6.362055e-01,2.000000e-01,6.748005e-03,5.165059e-02,6.515678e-01,7.293457e-02,7.877248e+02,8.133953e+02,1.150592e+03,9
